city_id,city,lat,lon,weather_score,nb_hotels,avg_score,max_score
1,Mont Saint Michel,48.6359541,-1.51146,16.904999999999998,5,8.879999999999999,9.5
2,St Malo,48.649518,-2.0260409,17.459000000000003,5,7.9399999999999995,8.4
3,Bayeux,49.2764624,-0.7024738,16.82375,5,8.440000000000001,9.5
4,Le Havre,49.4938975,0.1079732,17.62575,5,8.24,8.6
5,Rouen,49.4404591,1.0939658,17.191499999999998,5,7.859999999999999,8.6
6,Paris,48.8588897,2.320041,20.160999999999998,5,8.34,8.9
7,Amiens,49.8941708,2.2956951,17.55175,5,8.22,8.5
8,Lille,50.6365654,3.0635282,18.29725,5,7.739999999999999,8.2
9,Strasbourg,48.584614,7.7507127,17.612999999999996,5,7.6,8.3
10,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,14.979250000000004,5,9.040000000000001,10.0
11,Colmar,48.0777517,7.3579641,17.33125,5,8.0,8.5
12,Eguisheim,48.0447968,7.3079618,16.98625,5,8.82,9.4
13,Besancon,47.2380222,6.0243622,15.812750000000001,0,,
14,Dijon,47.3215806,5.0414701,17.216,5,8.24,8.5
15,Annecy,45.8992348,6.1288847,17.959249999999997,5,8.22,8.8
16,Grenoble,45.1875602,5.7357819,20.26075,5,8.14,8.6
17,Lyon,45.7578137,4.8320114,19.864500000000003,5,8.28,9.0
18,Gorges du Verdon,43.7496562,6.3285616,17.362,5,8.58,8.9
19,Bormes les Mimosas,43.1506968,6.3419285,22.774250000000002,5,8.419999999999998,9.1
20,Cassis,43.2140359,5.5396318,23.155250000000002,5,8.22,9.5
21,Marseille,43.2961743,5.3699525,24.155,5,8.620000000000001,9.5
22,Aix en Provence,43.5298424,5.4474738,23.68875,5,7.68,8.3
23,Avignon,43.9492493,4.8059012,23.2925,5,7.88,8.0
24,Uzes,44.0121279,4.4196718,22.2505,5,8.74,9.3
25,Nimes,43.8374249,4.3600687,23.30675,5,8.34,8.6
26,Aigues Mortes,43.5661521,4.19154,22.886,5,8.86,9.2
27,Saintes Maries de la mer,43.4515922,4.4277202,22.4425,5,8.42,8.9
28,Collioure,42.52505,3.0831554,22.917749999999998,5,8.6,9.1
29,Carcassonne,43.2130358,2.3491069,20.780250000000002,5,8.1,8.5
30,Ariege,42.9455368,1.4065544,14.85025,5,9.120000000000001,9.7
31,Toulouse,43.6044622,1.4442469,20.247750000000003,5,7.9799999999999995,8.7
32,Montauban,44.0175835,1.3549991,19.35025,5,8.22,9.0
33,Biarritz,43.4832523,-1.5592776,19.55425,5,8.34,9.0
34,Bayonne,43.4945144,-1.4736657,19.228749999999998,5,7.68,8.3
35,La Rochelle,46.159732,-1.1515951,18.663,5,8.48,9.0
